"country","ohi_plus","phase","map_display","display","lat","lon"
"China","YES","active","shapefile","<a href=""#China"">China</a>",NA,NA
"Colombia","YES","active","shapefile","<a href=""#Colombia"">Colombia</a>",NA,NA
"Baltic Sea","YES","active","shapefile","<a href=""#Baltic-Sea"">Baltic</a>",NA,NA
"Canada","YES","active","shapefile","<a href=""#Canada"">Canada</a>",NA,NA
"Canada - British Columbia","NO","active","shapefile","<a href=""#Canada-British-Columbia"">Canada - British Columbia</a>",NA,NA
"United States - West Coast","NO","completed","shapefile","<a href=""#US-West-Coast"">US - West Coast</a>",NA,NA
"Israel","YES","completed","shapefile","<a href=""#Israel"">Israel</a>",NA,NA
"Brazil","NO","completed","shapefile","<a href=""#Brazil"">Brazil</a>",NA,NA
"Fiji","NO","completed","shapefile","<a href=""#Fiji"">Fiji</a>",NA,NA
"Chile","YES","active","shapefile","<a href=""#Chile"">Chile</a>",NA,NA
"Ecuador - Gulf of Guayaquil","YES","active","shapefile","<a href=""#Ecuador-Gulf-of-Guayaquil"">Ecuador - Gulf of Guayaquil</a>",NA,NA
