Region,Display,Status
Colombia,"<a href=""#Colombia"">Colombia</a>",active
Ecuador,"<a href=""#Ecuador"">Ecuador</a>",active
Peru,"<a href=""#Peru"">Peru</a>",active
Brazil,"<a href=""#Brazil"">Brazil</a>",completed
Fiji,"<a href=""#Fiji"">Fiji</a>",completed
Spain,"<a href=""#Spain"">Spain</a>",active
China,"<a href=""#China"">China</a>",active
Canada,"<a href=""#Canada"">Canada</a>",active
Chile,"<a href=""#Chile"">Chile</a>",active
Israel,"<a href=""#Israel"">Israel</a>",completed
"United States, Pacific Coast","<a href=""#U.S.-West-Coast"">United States, Pacific Coast</a>",completed
"United States, Hawaii","<a href=""#Hawaii"">United States, Hawaii</a>",active
Baltic,"<a href=""#Baltic-Sea"">Baltic</a>",active
British Columbia,"<a href=""#British-Columbia"">British Columbia</a>",active
